plantnum,fliesperwk,harvest,do.mg.l,do.pct,halfvol,lflen,lfwid,keelwid,diam1,diam2,leafarea,leafmass,ph,no3,nh4,po4,pct.n,ca.ppm,p.ppm,k.ppm,mg.ppm
154,14,1,1,10.5,42,199.26,48.08,24.18,32.23,23.22,7.05,1.35,6.43,0.7,4.29,1.49,1.43,215,1194.8,5618.8,1275
155,0,2,2.81,33,21,160.7,37.7,15,27.8,18.9,88.24,0.8,4.19,NA,0.32,NA,1.09,352.1,1280.1,3131.3,1068.4
156,0,3,3.88,48.8,23,139.7,31.3,9,26,24.1,68.6,0.45,4.7,0.08,0.21,NA,1.03,672.4,1400,4034.6,1218.8
157,0,2,2.52,29.3,22,167.7,47.2,18.5,33.1,18.5,106.04,0.97,5.72,0,0.14,0.03,1.04,176.2,765.3,3583.1,1549.1
158,4,5,NA,NA,22,170.1,39.7,18.6,26.8,20.8,102.04,1.06,6.98,0.18,0.81,0.28,1.19,570.2,964.8,3108.5,1285.3
159,4,3,1.96,24.3,35,202.8,49.2,18.4,31.5,19.8,129.16,1.47,4.75,0.15,0.7,1.22,1.31,322,1767.8,4326.6,1129.2
160,14,2,0.35,3.9,23,179,48.9,29,33.6,17.2,122.94,1.21,6.32,0.17,4.29,0.16,1.64,372.1,2076.8,4551.9,1496
161,8,5,NA,NA,40,193.4,40.1,20.4,34,33,128.78,1.46,3.74,0.04,1.11,NA,1.34,405.1,1064.1,2918.6,1180.9
162,8,4,1.1,13.7,22,175.9,30.8,16.3,26.2,25.6,96.72,0.97,6.82,-0.66,4.29,NA,1.12,610.3,846.9,3113.9,1568.2
163,2,1,2.45,27.1,25,138.48,46.91,20.17,26.59,24.08,4.9,0.99,4.88,0.11,0.11,0.98,1.27,268.11,853.05,4818.6,1536.88
164,0,2,NA,NA,6,72.6,25.1,11.3,25.3,13.7,28.9,0.19,8.11,NA,0.02,NA,0.88,669.3,891.4,2689.8,1893.7
165,4,1,0.12,1.4,7,115.42,37.69,21.41,20.4,13.67,3.42,0.4,6.11,0.38,NA,NA,1.36,265.1,1638,6564.4,1521.4
166,0,1,4.08,43.7,13,120.17,29.59,13.79,19.33,14.81,2.96,0.58,4.8,0.38,NA,NA,1.13,298.6,911.6,5002.4,1477
167,2,4,1.46,17.8,30,171.2,32.4,11.8,24.7,25.7,100.98,0.7,6.43,0.07,4.29,NA,1.06,367.2,1226.3,5670.6,594
168,14,4,1.02,12.6,8,120.5,46.4,23.8,21.9,15.6,66.98,0.56,7.5,NA,NA,NA,2.18,551.5,2707.3,6003.2,1587.3
169,0,4,2.78,35,31,155,52.1,26.1,29.4,22,109.86,0.74,4.2,0.04,0.12,0.47,1.34,1088.9,877.6,3954.1,610.1
170,14,1,0.01,0.1,7,111.96,24.97,9.35,18.11,16.21,1.05,0.2,7.7,NA,NA,NA,2.31,300.3,2099.2,6574.7,1320.2
171,0,3,0.44,6.3,45,204.1,46.5,28.6,33,24.9,165.06,1.49,5.76,0.14,2.3,0.17,0.91,245,900.3,3798.4,827.9
172,10,4,2.56,32,15,139,40,22.6,21.1,17.1,82.2,0.53,6.98,NA,0.71,NA,1.69,870.6,2562.5,4545.6,1072
173,6,2,2.28,27.5,34,242.6,45.2,17.8,35,23.1,124.22,1.13,6.17,0.02,1.98,0.23,1.29,295.7,1444,4721.7,769.3
174,10,5,NA,NA,28,177.8,37.2,13.8,33.2,26.6,101.7,0.82,6.35,-0.49,4.29,0.89,1.73,823.7,1566.9,3710.4,1134.1
175,12,4,0.74,9.2,25,169.2,45.8,24.3,28.9,25.4,108.54,0.98,6.36,NA,4.29,NA,1.62,140,1978,4154.2,1329.8
176,2,5,NA,NA,15,145.8,41.3,23.9,24.3,17.3,88.34,0.69,7.28,0.24,1.1,NA,1.47,828,897.8,3346.6,1079.2
177,12,5,NA,NA,50,160.1,35.9,14.5,27.6,26.4,107.56,1.04,6.56,0.02,4.29,0.67,0.68,840.2,1368.5,3649.7,1144.6
178,12,2,1.86,21.7,49,209.4,51.3,23.6,35.8,23.3,155.52,1.73,6.91,-0.38,0.63,0.17,1.03,301.9,1472.5,3519.5,1661.1
179,4,3,4.48,59.7,12,154.8,29,9.6,20.6,17.2,60,0.5,6.57,NA,0.99,NA,1.11,473.8,1263.9,3552.4,736.5
180,0,2,2.75,32.4,27,173.2,38.2,15.7,32,19.9,92.98,0.92,5.91,0.13,-0.01,3.53,0.99,202.7,1144,3356.7,1075.9
181,0,3,2.83,38,30,169.7,42.5,27.1,27.8,28,131.22,1.06,4.34,0.01,0.14,0.04,1.09,392.1,263.3,2790.1,1200
182,10,2,1.22,14.4,34,164.8,50.8,20.8,32.3,24.1,116.4,0.93,6.46,0.04,1.51,0.69,1.46,239.4,1803.4,6191.3,1511.8
183,2,1,2.9,32.1,24,139.75,43,20.27,27.28,24.43,3.99,0.9,5.02,0.26,NA,NA,1.12,404,967.4,4905.3,1996
184,10,4,1.28,16.8,23,158.7,48.4,30.3,26.3,21.1,116.94,1.37,6.42,0.17,1.26,NA,1.35,413.7,1099,3188,1019.7
185,4,1,3.54,38.3,28,218.36,45.67,15.04,30.99,19.84,5.27,0.94,6,0.02,0.1,0,1.63,190,1389.5,3712.8,988.6
186,6,3,0.63,8.9,44,206.8,48.3,24.1,35,29.1,155.14,1.69,4.85,0.11,0.65,0.11,1.37,179.6,1425.9,2983.2,885.5
187,14,2,0.28,3.3,12,131.7,37.2,11.8,32.3,18.9,67.42,0.62,7.4,-0.01,0.27,NA,1.9,574.9,2084.7,3252.1,1899.1
188,14,1,0.42,4.8,8,83.69,31.45,13.21,21.21,12.95,2.83,0.3,6.22,NA,4.29,NA,2,394.6,2282.3,4217.2,1801
189,6,5,NA,NA,16,133.9,38.6,14.9,23.2,17.2,72.72,0.76,6.86,0.26,0.76,NA,1.48,351.2,1324.4,2556.2,901.4
190,2,2,2.68,32,27,159.1,51,18.2,30.9,23.3,106.36,0.95,5.01,0.01,0.21,-0.13,1.09,514.5,1291.3,3733.5,1409.4
191,8,3,0.44,6.1,14,121,27.4,14.4,25.1,21.8,66.76,0.55,7.13,NA,4.29,NA,1.79,654.9,2254.3,5776.6,1225.7
192,10,2,0.62,7.4,15,126,31.1,12.4,25.7,21.7,66,0.47,6.7,0.06,4.29,NA,1.85,489.5,2056.2,4248.8,1292.2
193,4,2,1.82,21.8,4,68.5,24.6,6.7,18.5,10.8,25.08,0.15,7.19,NA,NA,NA,2.13,656.7,2887.2,6374.7,2516.4
194,8,3,0.01,0.1,6,97.9,21.6,9.8,16.9,12.6,36.3,0.22,7.46,NA,NA,NA,2.72,699.9,3594,4392.1,1914.1
195,4,1,0.02,0.3,12,112.67,34.32,8.18,24.71,17.53,2.89,0.4,6.97,0.05,4.29,NA,1.74,327.5,1518.2,4352.7,1460.3
196,14,3,0.04,0.7,18,152.3,36.6,16.9,24.9,20.6,81.82,0.64,7.06,-0.06,NA,NA,1.98,723.2,3309.1,4562.8,1456.2
197,12,1,0.52,5.8,17.5,128.91,37.34,16.51,26.54,21.87,3.9,0.62,5.95,0.12,0.4,NA,1.52,276.1,1697.6,5350.7,1583.4
198,4,4,1.76,22.6,35,193.1,56.5,31.7,31.7,17.6,124.16,1.57,4.7,-0.23,0.58,0.18,1.15,278.7,1194.4,3484.6,1011.9
199,8,1,NA,NA,21,136.45,40.44,17.32,27.1,19.84,3.83,0.74,NA,NA,NA,NA,1.39,244.2,1413.4,4885,1370.9
200,14,3,0.62,8.6,14,134.5,48.3,20,20.2,24.6,86.08,0.66,6.85,-0.02,NA,NA,1.38,408.8,2060.3,3275.9,1860
